73,-82.052,1025.969281,-82.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,-83.056,1025.979271,-83.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,-82.839,1025.989261,-82.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,-82.513,1025.999251,-82.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,-81.951,1026.009241,-81.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,-82.124,1026.019231,-82.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,-81.612,1026.029221,-81.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,-82.506,1026.039211,-82.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,-83.636,1026.049201,-83.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,-83.67,1026.059191,-83.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,-82.84,1026.069181,-82.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,-82.833,1026.079171,-82.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,-83.92,1026.089161,-83.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,-84.96,1026.099151,-84.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,-83.858,1026.109141,-83.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,-82.665,1026.119131,-82.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,-82.077,1026.129121,-82.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,-83.293,1026.139111,-83.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,-81.402,1026.149101,-81.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,-81.854,1026.159091,-81.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,-82.266,1026.169081,-82.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,-84.646,1026.179071,-84.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,-87.311,1026.189061,-87.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,-82.855,1026.199051,-82.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,-83.297,1026.209041,-83.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,-85.078,1026.219031,-85.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,-83.353,1026.229021,-83.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,-82.389,1026.239011,-82.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,-81.216,1026.249001,-81.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,-84.632,1026.258991,-84.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,-84.946,1026.268981,-84.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,-84.507,1026.278971,-84.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,-82.206,1026.288961,-82.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,-84.222,1026.298951,-84.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,-85.687,1026.308941,-85.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,-83.088,1026.318931,-83.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,-85.409,1026.328921,-85.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,-83.651,1026.338911,-83.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,-83.361,1026.348901,-83.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,-83.046,1026.358891,-83.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,-85.541,1026.368881,-85.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,-83.078,1026.378871,-83.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,-81.438,1026.388861,-81.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,-83.616,1026.398851,-83.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,-83.741,1026.408841,-83.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,-84.249,1026.418831,-84.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,-82.098,1026.428821,-82.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,-84.12,1026.438811,-84.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,-83.241,1026.448801,-83.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,-82.315,1026.458791,-82.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,-84.284,1026.468781,-84.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,-83.929,1026.478771,-83.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,-83.038,1026.488761,-83.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,-82.738,1026.498751,-82.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,-83.228,1026.508741,-83.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,-82.715,1026.518731,-82.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,-82.656,1026.528721,-82.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,-82.605,1026.538711,-82.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,-82.207,1026.548701,-82.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,-83.776,1026.558691,-83.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,-83.168,1026.568681,-83.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,-83.534,1026.578671,-83.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,-84.201,1026.588661,-84.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,-83.786,1026.598651,-83.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,-83.3,1026.608641,-83.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,-82.9,1026.618631,-82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,-82.778,1026.628621,-82.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,-85.465,1026.638611,-85.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,-85.883,1026.648601,-85.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,-82.747,1026.658591,-82.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,-83.99,1026.668581,-83.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,-85.281,1026.678571,-85.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,-84.049,1026.688561,-84.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,-83.634,1026.698551,-83.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,-81.803,1026.708541,-81.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,-82.527,1026.718531,-82.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,-82.224,1026.728521,-82.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,-81.977,1026.738511,-81.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,-82.324,1026.748501,-82.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,-84.773,1026.758492,-84.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,-82.133,1026.768482,-82.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,-83.978,1026.778472,-83.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,-82.108,1026.788462,-82.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,-83.328,1026.798452,-83.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,-87.839,1026.808442,-87.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,-82.867,1026.818432,-82.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,-82.288,1026.828422,-82.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,-82.824,1026.838412,-82.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,-84.124,1026.848402,-84.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,-82.117,1026.858392,-82.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,-82.487,1026.868382,-82.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,-82.899,1026.878372,-82.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,-83.616,1026.888362,-83.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,-84.107,1026.898352,-84.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,-83.695,1026.908342,-83.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,-85.514,1026.918332,-85.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,-84.177,1026.928322,-84.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,-82.276,1026.938312,-82.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,-82.418,1026.948302,-82.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,-82.067,1026.958292,-82.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,-82.211,1026.968282,-82.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,-81.357,1026.978272,-81.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,-82.569,1026.988262,-82.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,-84.435,1026.998252,-84.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,-81.978,1027.008242,-81.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,-82.397,1027.018232,-82.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,-82.619,1027.028222,-82.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,-86.128,1027.038212,-86.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,-83.128,1027.048202,-83.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,-84.729,1027.058192,-84.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,-82.882,1027.068182,-82.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,-82.924,1027.078172,-82.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,-85.11,1027.088162,-85.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,-84.14,1027.098152,-84.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,-84.462,1027.108142,-84.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,-83.144,1027.118132,-83.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,-83.806,1027.128122,-83.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,-86.009,1027.138112,-86.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,-81.476,1027.148102,-81.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,-83.593,1027.158092,-83.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,-81.232,1027.168082,-81.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,-81.815,1027.178072,-81.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,-82.13,1027.188062,-82.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,-82.645,1027.198052,-82.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
