Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-08
Horizontal Delay,0.000945365
Sample Interval,2e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-3.54
,
,
,
Label,
TIME,CH4
9.444383e-04,0.01
9.444385e-04,-0.01
9.444387e-04,-0.01
9.444389e-04,0.03
9.444391e-04,0.01
9.444393e-04,0.03
9.444395e-04,0.01
9.444397e-04,-0.01
9.444399e-04,0.03
9.444401e-04,0.01
9.444403e-04,0.03
9.444405e-04,0.03
9.444407e-04,0.01
9.444409e-04,0.01
9.444411e-04,0.03
9.444413e-04,0.03
9.444415e-04,-0.01
9.444417e-04,0.01
9.444419e-04,0.01
9.444421e-04,0.01
9.444423e-04,0.01
9.444425e-04,0.01
9.444427e-04,0.01
9.444429e-04,0.01
9.444431e-04,0.01
9.444433e-04,0.03
9.444435e-04,0.03
9.444437e-04,0.01
9.444439e-04,0.01
9.444441e-04,0.01
9.444443e-04,0.03
9.444445e-04,0.03
9.444447e-04,0.05
9.444449e-04,0.01
9.444451e-04,0.03
9.444453e-04,0.01
9.444455e-04,0.03
9.444457e-04,0.03
9.444459e-04,0.05
9.444461e-04,0.05
9.444463e-04,0.01
9.444465e-04,0.03
9.444467e-04,0.03
9.444469e-04,0.03
9.444471e-04,0.01
9.444473e-04,0.05
9.444475e-04,0.01
9.444477e-04,-0.01
9.444479e-04,0.03
9.444481e-04,0.03
9.444483e-04,0.03
9.444485e-04,-0.01
9.444487e-04,-0.01
9.444489e-04,0.01
9.444491e-04,0.03
9.444493e-04,0.07
9.444495e-04,0.03
9.444497e-04,0.03
9.444499e-04,0.03
9.444501e-04,0.03
9.444503e-04,0.01
9.444505e-04,0.01
9.444507e-04,0.05
9.444509e-04,0.03
9.444511e-04,0.03
9.444513e-04,0.01
9.444515e-04,0.01
9.444517e-04,0.03
9.444519e-04,0.03
9.444521e-04,0.03
9.444523e-04,0.01
9.444525e-04,0.01
9.444527e-04,0.01
9.444529e-04,0.01
9.444531e-04,0.01
9.444533e-04,0.01
9.444535e-04,0.03
9.444537e-04,0.01
9.444539e-04,0.03
9.444541e-04,0.01
9.444543e-04,0.01
9.444545e-04,0.01
9.444547e-04,0.03
9.444549e-04,0.03
9.444551e-04,0.01
9.444553e-04,0.01
9.444555e-04,0.03
9.444557e-04,0.03
9.444559e-04,0.03
9.444561e-04,0.03
9.444563e-04,-0.01
9.444565e-04,0.01
9.444567e-04,0.01
9.444569e-04,0.05
9.444571e-04,0.03
9.444573e-04,0.01
9.444575e-04,0.01
9.444577e-04,0.01
9.444579e-04,0.03
9.444581e-04,0.01
9.444583e-04,0.03
9.444585e-04,0.03
9.444587e-04,-0.01
9.444589e-04,0.05
9.444591e-04,0.01
9.444593e-04,0.01
9.444595e-04,0.01
9.444597e-04,0.01
9.444599e-04,0.03
9.444601e-04,0.03
9.444603e-04,0.03
9.444605e-04,0.03
9.444607e-04,0.01
9.444609e-04,0.01
9.444611e-04,0.05
9.444613e-04,0.03
9.444615e-04,0.03
9.444617e-04,0.03
9.444619e-04,0.01
9.444621e-04,0.03
9.444623e-04,0.03
9.444625e-04,0.01
9.444627e-04,-0.01
9.444629e-04,0.01
9.444631e-04,0.01
9.444633e-04,-0.01
9.444635e-04,-0.01
9.444637e-04,0.01
9.444639e-04,0.03
9.444641e-04,0.01
9.444643e-04,-0.01
9.444645e-04,0.03
9.444647e-04,0.03
9.444649e-04,-0.01
9.444651e-04,0.01
9.444653e-04,0.03
9.444655e-04,0.03
9.444657e-04,0.01
9.444659e-04,0.01
9.444661e-04,0.03
9.444663e-04,-0.01
9.444665e-04,0.01
9.444667e-04,0.01
9.444669e-04,0.01
9.444671e-04,0.01
9.444673e-04,0.01
9.444675e-04,0.01
9.444677e-04,0.01
9.444679e-04,0.01
9.444681e-04,0.01
9.444683e-04,0.01
9.444685e-04,0.03
9.444687e-04,0.03
9.444689e-04,0.03
9.444691e-04,0.01
9.444693e-04,0.01
9.444695e-04,0.05
9.444697e-04,0.01
9.444699e-04,0.01
9.444701e-04,0.01
9.444703e-04,0.01
9.444705e-04,0.01
9.444707e-04,0.01
9.444709e-04,0.03
9.444711e-04,0.01
9.444713e-04,0.03
9.444715e-04,0.03
9.444717e-04,0.01
9.444719e-04,0.01
9.444721e-04,0.01
9.444723e-04,0.01
9.444725e-04,0.01
9.444727e-04,-0.01
9.444729e-04,0.01
9.444731e-04,0.01
9.444733e-04,0.01
9.444735e-04,0.03
9.444737e-04,0.01
9.444739e-04,0.01
9.444741e-04,-0.01
9.444743e-04,0.01
9.444745e-04,0.01
9.444747e-04,0.01
9.444749e-04,0.01
9.444751e-04,0.03
9.444753e-04,0.03
9.444755e-04,0.01
9.444757e-04,0.01
9.444759e-04,0.01
9.444761e-04,0.01
9.444763e-04,0.01
9.444765e-04,0.03
9.444767e-04,0.01
9.444769e-04,-0.01
9.444771e-04,0.05
9.444773e-04,0.03
9.444775e-04,0.01
9.444777e-04,0.03
9.444779e-04,0.03
9.444781e-04,0.03
9.444783e-04,0.03
9.444785e-04,0.01
9.444787e-04,0.03
9.444789e-04,0.03
9.444791e-04,0.01
9.444793e-04,-0.01
9.444795e-04,0.01
9.444797e-04,0.03
9.444799e-04,0.01
9.444801e-04,0.01
9.444803e-04,0.03
9.444805e-04,0.01
9.444807e-04,0.03
9.444809e-04,0.01
9.444811e-04,0.03
9.444813e-04,0.03
9.444815e-04,0.03
9.444817e-04,0.03
9.444819e-04,0.01
9.444821e-04,0.01
9.444823e-04,0.03
9.444825e-04,0.03
9.444827e-04,0.03
9.444829e-04,0.01
9.444831e-04,0.03
9.444833e-04,0.03
9.444835e-04,0.03
9.444837e-04,0.01
9.444839e-04,0.03
9.444841e-04,0.01
9.444843e-04,-0.01
9.444845e-04,0.01
9.444847e-04,0.01
9.444849e-04,0.03
9.444851e-04,0.03
9.444853e-04,0.03
9.444855e-04,0.01
9.444857e-04,-0.01
9.444859e-04,0.03
9.444861e-04,0.03
9.444863e-04,0.03
9.444865e-04,-0.01
9.444867e-04,0.01
9.444869e-04,0.01
9.444871e-04,0.01
9.444873e-04,0.01
9.444875e-04,0.01
9.444877e-04,0.01
9.444879e-04,0.03
9.444881e-04,0.03
9.444883e-04,0.03
9.444885e-04,0.05
9.444887e-04,0.03
9.444889e-04,0.03
9.444891e-04,0.01
9.444893e-04,0.01
9.444895e-04,0.01
9.444897e-04,0.01
9.444899e-04,0.01
9.444901e-04,0.01
9.444903e-04,0.01
9.444905e-04,-0.01
