Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-08
Horizontal Delay,0.000945352
Sample Interval,2e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,-1.98
,
,
,
Label,
TIME,CH4
9.444582e-04,0.02
9.444584e-04,0.02
9.444586e-04,0.02
9.444588e-04,0.02
9.444590e-04,0.02
9.444592e-04,0.02
9.444594e-04,0.06
9.444596e-04,0.02
9.444598e-04,0.02
9.444600e-04,0.02
9.444602e-04,0.06
9.444604e-04,0.02
9.444606e-04,0.02
9.444608e-04,0.02
9.444610e-04,0.02
9.444612e-04,0.02
9.444614e-04,0.02
9.444616e-04,0.02
9.444618e-04,0.02
9.444620e-04,0.06
9.444622e-04,0.02
9.444624e-04,0.02
9.444626e-04,0.02
9.444628e-04,-0.06
9.444630e-04,0.02
9.444632e-04,0.02
9.444634e-04,0.02
9.444636e-04,0.06
9.444638e-04,0.02
9.444640e-04,0.06
9.444642e-04,0.02
9.444644e-04,0.02
9.444646e-04,0.02
9.444648e-04,0.02
9.444650e-04,0.02
9.444652e-04,-0.02
9.444654e-04,0.02
9.444656e-04,0.06
9.444658e-04,0.1
9.444660e-04,0.02
9.444662e-04,0.02
9.444664e-04,0.02
9.444666e-04,-0.02
9.444668e-04,0.02
9.444670e-04,0.02
9.444672e-04,0.06
9.444674e-04,0.06
9.444676e-04,0.1
9.444678e-04,-0.02
9.444680e-04,0.02
9.444682e-04,0.1
9.444684e-04,0.06
9.444686e-04,0.06
9.444688e-04,0.06
9.444690e-04,0.02
9.444692e-04,-0.02
9.444694e-04,0.02
9.444696e-04,0.06
9.444698e-04,0.02
9.444700e-04,0.06
9.444702e-04,0.02
9.444704e-04,-0.02
9.444706e-04,0.06
9.444708e-04,0.02
9.444710e-04,0.06
9.444712e-04,0.02
9.444714e-04,0.1
9.444716e-04,0.06
9.444718e-04,0.06
9.444720e-04,0.06
9.444722e-04,0.06
9.444724e-04,0.06
9.444726e-04,0.06
9.444728e-04,0.02
9.444730e-04,0.1
9.444732e-04,0.02
9.444734e-04,0.06
9.444736e-04,0.06
9.444738e-04,0.02
9.444740e-04,0.02
9.444742e-04,0.06
9.444744e-04,0.06
9.444746e-04,0.02
9.444748e-04,-0.02
9.444750e-04,0.02
9.444752e-04,0.02
9.444754e-04,0.02
9.444756e-04,0.06
9.444758e-04,0.02
9.444760e-04,-0.02
9.444762e-04,0.02
9.444764e-04,0.06
9.444766e-04,0.02
9.444768e-04,0.02
9.444770e-04,0.06
9.444772e-04,0.02
9.444774e-04,0.02
9.444776e-04,0.02
9.444778e-04,-0.02
9.444780e-04,0.06
9.444782e-04,0.02
9.444784e-04,0.02
9.444786e-04,0.06
9.444788e-04,0.06
9.444790e-04,0.02
9.444792e-04,0.02
9.444794e-04,0.02
9.444796e-04,0.1
9.444798e-04,0.1
9.444800e-04,0.02
9.444802e-04,0.02
9.444804e-04,0.06
9.444806e-04,0.06
9.444808e-04,0.06
9.444810e-04,0.02
9.444812e-04,-0.02
9.444814e-04,0.02
9.444816e-04,0.02
9.444818e-04,0.02
9.444820e-04,0.06
9.444822e-04,0.02
9.444824e-04,0.02
9.444826e-04,0.06
9.444828e-04,0.02
9.444830e-04,0.02
9.444832e-04,0.02
9.444834e-04,0.06
9.444836e-04,0.06
9.444838e-04,0.02
9.444840e-04,0.02
9.444842e-04,0.02
9.444844e-04,0.06
9.444846e-04,0.06
9.444848e-04,0.06
9.444850e-04,0.1
9.444852e-04,0.02
9.444854e-04,0.02
9.444856e-04,0.02
9.444858e-04,0.02
9.444860e-04,-0.02
9.444862e-04,0.02
9.444864e-04,0.02
9.444866e-04,0.06
9.444868e-04,0.06
9.444870e-04,0.02
9.444872e-04,0.06
9.444874e-04,0.06
9.444876e-04,0.02
9.444878e-04,-0.02
9.444880e-04,0.02
9.444882e-04,0.02
9.444884e-04,0.06
9.444886e-04,0.06
9.444888e-04,0.02
9.444890e-04,0.06
9.444892e-04,0.02
9.444894e-04,0.06
9.444896e-04,0.02
9.444898e-04,0.02
9.444900e-04,-0.02
9.444902e-04,0.02
9.444904e-04,0.02
9.444906e-04,0.02
9.444908e-04,-0.02
9.444910e-04,0.02
9.444912e-04,0.02
9.444914e-04,0.06
9.444916e-04,0.02
9.444918e-04,-0.02
9.444920e-04,-0.02
9.444922e-04,0.02
9.444924e-04,0.06
9.444926e-04,-0.02
9.444928e-04,-0.02
9.444930e-04,-0.02
9.444932e-04,0.02
9.444934e-04,0.02
9.444936e-04,0.02
9.444938e-04,0.02
9.444940e-04,0.02
9.444942e-04,0.02
9.444944e-04,0.06
9.444946e-04,0.06
9.444948e-04,0.1
9.444950e-04,0.02
9.444952e-04,0.06
9.444954e-04,0.02
9.444956e-04,0.02
9.444958e-04,0.02
9.444960e-04,0.06
9.444962e-04,0.06
9.444964e-04,0.06
9.444966e-04,0.06
9.444968e-04,0.02
9.444970e-04,0.02
9.444972e-04,0.02
9.444974e-04,0.06
9.444976e-04,0.02
9.444978e-04,0.02
9.444980e-04,0.02
9.444982e-04,0.02
9.444984e-04,-0.02
9.444986e-04,0.02
9.444988e-04,0.02
9.444990e-04,0.06
9.444992e-04,0.06
9.444994e-04,-0.02
9.444996e-04,0.02
9.444998e-04,0.02
9.445000e-04,0.02
9.445002e-04,0.06
9.445004e-04,0.06
